Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s)
RNN,tanh,Adam,25,No,0.61304,0.6076208713157465,2.2426717281341553
RNN,tanh,Adam,50,No,0.61844,0.6170336095463537,2.2734479904174805
RNN,tanh,Adam,100,No,0.62636,0.6245974888138451,2.4693076610565186
RNN,tanh,SGD,25,No,0.50408,0.5039860859159407,1.9232850074768066
RNN,tanh,SGD,50,No,0.506,0.5059954346074085,2.0165491104125977
RNN,tanh,SGD,100,No,0.50716,0.5071599361279278,2.212364435195923
RNN,tanh,RMSProp,25,No,0.67312,0.6631165205125531,2.18947696685791
RNN,tanh,RMSProp,50,No,0.6094,0.5998963482014833,2.350846767425537
RNN,tanh,RMSProp,100,No,0.63168,0.6316625649685152,2.5019402503967285
LSTM,tanh,Adam,25,No,0.71828,0.7177754959280802,2.606740951538086
LSTM,tanh,Adam,50,No,0.75656,0.7532023451522576,2.618478298187256
LSTM,tanh,Adam,100,No,0.80248,0.8006704306763276,2.841374397277832
LSTM,tanh,SGD,25,No,0.49896,0.49653793988797734,2.237964153289795
LSTM,tanh,SGD,50,No,0.50116,0.4985343410543164,2.543519973754883
LSTM,tanh,SGD,100,No,0.50732,0.5047669547960427,3.085984706878662
LSTM,tanh,RMSProp,25,No,0.70004,0.6914428935287426,2.5411105155944824
LSTM,tanh,RMSProp,50,No,0.74252,0.7350674477284946,2.557648181915283
LSTM,tanh,RMSProp,100,No,0.79932,0.7982916991506018,2.7980706691741943
BiLSTM,tanh,Adam,25,No,0.72084,0.720468817922943,3.3100810050964355
BiLSTM,tanh,Adam,50,No,0.76892,0.7688733956314951,3.4502978324890137
BiLSTM,tanh,Adam,100,No,0.82364,0.8231111195116947,3.5984549522399902
BiLSTM,tanh,SGD,25,No,0.49864,0.4985619008154768,3.8893752098083496
BiLSTM,tanh,SGD,50,No,0.49852,0.49838574314479844,3.027712106704712
BiLSTM,tanh,SGD,100,No,0.50724,0.5071854600177343,4.253109455108643
BiLSTM,tanh,RMSProp,25,No,0.70812,0.7056262535482606,3.2217774391174316
BiLSTM,tanh,RMSProp,50,No,0.77292,0.7729105817843047,4.040929794311523
BiLSTM,tanh,RMSProp,100,No,0.79608,0.7920411883303977,3.7889316082000732
RNN,tanh,Adam,50,Yes,0.68944,0.6889322877227295,3.016831398010254
RNN,tanh,SGD,50,Yes,0.50604,0.5060348145510692,2.3177735805511475
RNN,tanh,RMSProp,50,Yes,0.68088,0.677931572274474,2.5583786964416504
LSTM,tanh,Adam,50,Yes,0.76672,0.7661794802845328,2.882326602935791
LSTM,tanh,SGD,50,Yes,0.50116,0.4985343410543164,3.3189852237701416
LSTM,tanh,RMSProp,50,Yes,0.75672,0.7537490249319743,2.846500873565674
BiLSTM,tanh,Adam,50,Yes,0.76808,0.7680793454271446,4.367377042770386
BiLSTM,tanh,SGD,50,Yes,0.49852,0.49838574314479844,3.341149091720581
BiLSTM,tanh,RMSProp,50,Yes,0.76956,0.7694544193458837,3.534343957901001
